no_of_adults;no_of_children;no_of_weekend_nights;no_of_week_nights;required_car_parking_space;room_type_reserved;lead_time;arrival_month;arrival_date;repeated_guest;no_of_previous_cancellations;no_of_previous_bookings_not_canceled;avg_price_per_room;no_of_special_requests;booking_status
2;0;1;2;0;Room_Type 1;224;10;2;0;0;0;65;0;Not_Canceled
2;0;2;3;0;Room_Type 1;5;11;6;0;0;0;106.68;1;Not_Canceled
1;0;2;1;0;Room_Type 1;1;2;28;0;0;0;60;0;Canceled
2;0;0;2;0;Room_Type 1;211;5;20;0;0;0;100;0;Canceled
2;0;1;1;0;Room_Type 1;48;4;11;0;0;0;94.5;0;Canceled
2;0;0;2;0;Room_Type 1;346;9;13;0;0;0;115;1;Canceled
2;0;1;3;0;Room_Type 1;34;10;15;0;0;0;107.55;1;Not_Canceled
2;0;1;3;0;Room_Type 4;83;12;26;0;0;0;105.61;1;Not_Canceled
3;0;0;4;0;Room_Type 1;121;7;6;0;0;0;96.9;1;Not_Canceled
2;0;0;5;0;Room_Type 4;44;10;18;0;0;0;133.44;3;Not_Canceled
1;0;1;0;0;Room_Type 1;0;9;11;0;0;0;85.03;0;Not_Canceled
1;0;2;1;0;Room_Type 4;35;4;30;0;0;0;140.4;1;Not_Canceled
2;0;2;1;0;Room_Type 1;30;11;26;0;0;0;88;0;Canceled
1;0;2;0;0;Room_Type 1;95;11;20;0;0;0;90;2;Canceled
2;0;0;2;0;Room_Type 1;47;10;20;0;0;0;94.5;2;Not_Canceled
2;0;0;2;0;Room_Type 1;256;6;15;0;0;0;115;1;Canceled
1;0;1;0;0;Room_Type 1;0;10;5;0;0;0;96;0;Not_Canceled
2;0;1;3;0;Room_Type 1;1;8;10;0;0;0;96;1;Not_Canceled
2;0;2;2;0;Room_Type 1;99;10;30;0;0;0;65;0;Canceled
2;0;1;0;0;Room_Type 1;12;10;4;0;0;0;72;0;Not_Canceled
2;0;2;2;0;Room_Type 1;99;10;30;0;0;0;65;0;Canceled
1;0;0;1;0;Room_Type 1;122;11;25;0;0;0;67;0;Not_Canceled
2;0;2;4;0;Room_Type 1;2;3;20;0;0;0;85;0;Not_Canceled
2;0;0;3;0;Room_Type 1;37;10;13;0;0;0;105;0;Not_Canceled
2;0;2;1;0;Room_Type 1;130;5;22;0;0;0;94.5;1;Not_Canceled
2;0;0;2;0;Room_Type 1;99;4;28;0;0;0;114.3;1;Not_Canceled
2;0;1;1;0;Room_Type 1;60;9;21;0;0;0;65;0;Not_Canceled
1;0;0;2;0;Room_Type 4;2;5;19;0;0;0;110;0;Canceled
1;0;1;2;0;Room_Type 1;37;11;6;0;0;0;37.33;0;Canceled
2;0;0;2;0;Room_Type 1;56;9;17;0;0;0;82;0;Not_Canceled
2;0;1;1;0;Room_Type 4;3;9;19;0;0;0;177.5;1;Not_Canceled
2;0;2;2;0;Room_Type 1;107;11;13;0;0;0;87.5;1;Not_Canceled
0;2;0;3;0;Room_Type 2;56;12;7;0;0;0;82.44;1;Not_Canceled
2;0;0;1;0;Room_Type 1;2;1;9;0;0;0;69.5;1;Not_Canceled
2;0;0;2;0;Room_Type 1;72;10;7;0;0;0;85.5;0;Not_Canceled
2;0;0;1;1;Room_Type 1;23;4;27;0;0;0;115;1;Not_Canceled
1;0;2;1;0;Room_Type 1;34;6;19;0;0;0;81;0;Canceled
2;0;0;1;0;Room_Type 1;289;10;17;0;0;0;67;0;Not_Canceled
2;0;2;3;0;Room_Type 1;247;11;19;0;0;0;63.75;0;Canceled
2;0;2;1;0;Room_Type 4;186;7;30;0;0;0;121.8;1;Canceled
2;0;0;4;0;Room_Type 1;64;11;1;0;0;0;93.6;2;Not_Canceled
2;0;0;2;0;Room_Type 1;35;6;21;0;0;0;102;1;Not_Canceled
3;0;2;1;0;Room_Type 1;96;4;10;0;0;0;121.8;1;Not_Canceled
